handle,title,vendor,formattedcode,formattedcodeunique,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
laminate-12mm-tan-sand-rebo3040-big-oak-collection,Laminate 12mm Tan Sand REBO3040 Big Oak Collection,republicfloor,REBO3040,republicfloor-REBO3040,0,100000,0,,,,
laminate-12mm-silver-cloud-rebo3030-big-oak-collection,Laminate 12mm Silver Cloud REBO3030 Big Oak Collection,republicfloor,REBO3030,republicfloor-REBO3030,0,100000,0,,,,
laminate-12mm-grey-rose-rebo3020-big-oak-collection,Laminate 12mm Grey Rose REBO3020 Big Oak Collection,republicfloor,REBO3020,republicfloor-REBO3020,0,100000,0,,,,
retg2040,Laminate Forest Blue RETG2040 The Glens collection,republicfloor,RETG2040,republicfloor-RETG2040,0,0,0,,,,
retg2030,Laminate Desert Sand RETG2030 The Glens collection,republicfloor,RETG2030,republicfloor-RETG2030,0,0,0,,,,
retg2020,Laminate Dark Tan RETG2020 The Glens collection,republicfloor,RETG2020,republicfloor-RETG2020,0,0,0,,,,
retg2010,Laminate Derby Brown RETG2010 The Glens collection,republicfloor,RETG2010,republicfloor-RETG2010,0,0,0,,,,
t-molding-remo-2520-mountain-oak,T-Molding REMO 2520 Mountain Oak,republicfloor,REMO2520,republicfloor-REMO2520,27215.5422,9999,29.99,,,,
java-gold-remb9104-magnolia-brook,Vinyl Java Gold REMB9104 Magnolia Brook,republicfloor,REMB9104,republicfloor-REMB9104,22679.6185,100000,75.25,,,,
sahara-marble-remb9103-magnolia-brook,Vinyl Sahara Marble REMB9103 Magnolia Brook,republicfloor,REMB9103,republicfloor-REMB9103,22679.6185,100000,75.25,,,,
french-light-remb9102-magnolia-brook,French Light REMB9102 Magnolia Brook,republicfloor,REMB9102,republicfloor-REMB9102,22679.6185,100000,75.25,,,,
autumn-beige-remb9101-magnolia-brook,Autumn Beige REMB9101 Magnolia Brook,republicfloor,REMB9101,republicfloor-REMB9101,22679.6185,100000,75.25,,,,
carrara-white-rewa9501-western-amber,Carrara White REWA9501 Western Amber,republicfloor,REWA9501,republicfloor-REWA9501,22679.6185,100000,188.34,,,,
polar-marble-rewa9502-western-amber,Polar Marble REWA9502 Western Amber,republicfloor,REWA9502,republicfloor-REWA9502,22679.6185,100000,188.34,,,,
dark-forest-rewa9503-western-amber,Dark Forest REWA9503 Western Amber,republicfloor,REWA9503,republicfloor-REWA9503,22679.6185,100000,188.34,,,,
arctic-sky-rewa9504-western-amber,Arctic Sky REWA9504 Western Amber,republicfloor,REWA9504,republicfloor-REWA9504,22679.6185,100000,188.34,,,,
