handle,title,vendor,formattedcode,gram,qty,price,archived,archivedon,addedon,lastfetcheddate
laminate-12mm-tan-sand-rebo3040-big-oak-collection,Laminate 12mm Tan Sand REBO3040 Big Oak Collection,republicfloor,republicfloor-REBO3040,0,100000,0,,,25-05-2021,25-05-2021
laminate-12mm-silver-cloud-rebo3030-big-oak-collection,Laminate 12mm Silver Cloud REBO3030 Big Oak Collection,republicfloor,republicfloor-REBO3030,0,100000,0,,,25-05-2021,25-05-2021
laminate-12mm-grey-rose-rebo3020-big-oak-collection,Laminate 12mm Grey Rose REBO3020 Big Oak Collection,republicfloor,republicfloor-REBO3020,0,100000,0,,,25-05-2021,25-05-2021
retg2040,Laminate Forest Blue RETG2040 The Glens collection,republicfloor,republicfloor-RETG2040,0,0,0,,,25-05-2021,25-05-2021
retg2030,Laminate Desert Sand RETG2030 The Glens collection,republicfloor,republicfloor-RETG2030,0,0,0,,,25-05-2021,25-05-2021
retg2020,Laminate Dark Tan RETG2020 The Glens collection,republicfloor,republicfloor-RETG2020,0,0,0,,,25-05-2021,25-05-2021
retg2010,Laminate Derby Brown RETG2010 The Glens collection,republicfloor,republicfloor-RETG2010,0,0,0,,,25-05-2021,25-05-2021
t-molding-remo-2520-mountain-oak,T-Molding REMO 2520 Mountain Oak,republicfloor,republicfloor-REMO2520,27215.5422,9999,29.99,,,25-05-2021,25-05-2021
java-gold-remb9104-magnolia-brook,Vinyl Java Gold REMB9104 Magnolia Brook,republicfloor,republicfloor-REMB9104,22679.6185,100000,75.25,,,25-05-2021,25-05-2021
sahara-marble-remb9103-magnolia-brook,Vinyl Sahara Marble REMB9103 Magnolia Brook,republicfloor,republicfloor-REMB9103,22679.6185,100000,75.25,,,25-05-2021,25-05-2021
french-light-remb9102-magnolia-brook,French Light REMB9102 Magnolia Brook,republicfloor,republicfloor-REMB9102,22679.6185,100000,75.25,,,25-05-2021,25-05-2021
autumn-beige-remb9101-magnolia-brook,Autumn Beige REMB9101 Magnolia Brook,republicfloor,republicfloor-REMB9101,22679.6185,100000,75.25,,,25-05-2021,25-05-2021
carrara-white-rewa9501-western-amber,Carrara White REWA9501 Western Amber,republicfloor,republicfloor-REWA9501,22679.6185,100000,188.34,,,25-05-2021,25-05-2021
polar-marble-rewa9502-western-amber,Polar Marble REWA9502 Western Amber,republicfloor,republicfloor-REWA9502,22679.6185,100000,188.34,,,25-05-2021,25-05-2021
dark-forest-rewa9503-western-amber,Dark Forest REWA9503 Western Amber,republicfloor,republicfloor-REWA9503,22679.6185,100000,188.34,,,25-05-2021,25-05-2021
arctic-sky-rewa9504-western-amber,Arctic Sky REWA9504 Western Amber,republicfloor,republicfloor-REWA9504,22679.6185,100000,188.34,,,25-05-2021,25-05-2021
winter-river-revf9303-victoria-falls,Winter River REVF9303 Victoria Falls,republicfloor,republicfloor-REVF9303,22679.6185,100000,111.06,,,25-05-2021,25-05-2021
nordic-ice-rews9004-wood-stone,Nordic Ice REWS9004 Wood Stone,republicfloor,republicfloor-REWS9004,22679.6185,100000,82.58,,,25-05-2021,25-05-2021
royal-dark-grey-resr9401-siberian-river,Royal Dark Grey RESR9401 Siberian River,republicfloor,republicfloor-RESR9401,22679.6185,100000,118.66,,,25-05-2021,25-05-2021
copenhagen-reco425-european-plus,Copenhagen RECO425 European Plus,republicfloor,republicfloor-RECO425,22679.6185,100000,64.71,,,25-05-2021,25-05-2021
walnut-harrington-refr630-frontier,Walnut Harrington REFR630 Frontier,republicfloor,republicfloor-REFR630,0,0,0,,,25-05-2021,25-05-2021
smoked-almond-refr680-frontier,Smoked Almond REFR680 Frontier,republicfloor,republicfloor-REFR680,0,0,0,,,25-05-2021,25-05-2021
whiskey-sapele-refr690-frontier,Whiskey Sapele REFR690 Frontier,republicfloor,republicfloor-REFR690,0,0,0,,,25-05-2021,25-05-2021
